continually (sounds)									continually	/kənˈtʰɪnjuəli/	/kənˈtʰɪnjuəli/	adv	Never stopping.	The noise from the construction site was continually disturbing my sleep.
with ease (sounds)									with ease	/ˈwɪθ ˈiz/	/wɪð ˈiːz/	adv	Without any difficulty.	She solved the complex math problem with ease.
incessantly (sounds)									incessantly	/ɪnˈsɛsn̩tli/	/ɪnˈsesᵊntli/	adv	Repeated many times in a way that is annoying.	The baby cried incessantly throughout the night.
seemingly (sounds)									seemingly	/ˈsimɪŋli/	/ˈsiːmɪŋli/	adv	In a way that appears to be true but may in fact not be.	He was seemingly calm, but his hands were shaking.
in proximity (sounds)									in proximity	/ˈɪn pɹɑkˈsɪməti/	/ɪn prɒkˈsɪmɪti/	adv	Near or close to something.	The school is in proximity to a busy highway.
strangely (sounds)									strangely	/ˈstɹeɪndʒli/	/ˈstreɪndʒli/	adv	In an unusual or surprising way.	She felt strangely calm before the big exam.
abruptly (sounds)									abruptly	/əˈbɹəptli/	/əˈbrʌptli/	adv	Sudden and unexpected, often in an unpleasant way.	He left the meeting abruptly without saying goodbye.
physical reaction (sounds)									physical reaction	/ˈfɪzɪkəl ɹiˈækʃən/	/ˈfɪzɪkᵊl riˈækʃᵊn/	n	A bodily response to a stimulus.	Her physical reaction to the cold was immediate shivering.
chewing (sounds)									chewing	/ˈtʃuɪŋ/	/ˈtʃuːɪŋ/	n	The act of biting and grinding food with the teeth.	Chewing too fast can cause digestion problems.
click (sounds)									click	/ˈklɪk/	/ˈklɪk/	n	A short, sharp sound, like a pen being clicked.	The click of a camera shutter filled the silent room.
unreasonable (sounds)									unreasonable	/ˌənˈɹizn̩əbəl/	/ʌnˈriːzᵊnəbᵊl/	adj	Not guided by logic or sound judgment.	His demands for a full refund were completely unreasonable.
harmless (sounds)									harmless	/ˈhɑrmləs/	/ˈhɑːmləs/	adj	Not able or likely to cause harm.	The spider in the corner of the room is harmless.
threatening (sounds)									threatening	/ˈθɹɛtn̩ɪŋ/	/ˈθretᵊnɪŋ/	adj	Indicating or suggesting danger or harm.	His threatening tone made everyone nervous.
flooded (sounds)									flooded	/ˈflədəd/	/ˈflʌdɪd/	adj	Filled or covered with a large amount of something.	Her inbox was flooded with emails after the announcement.
terror (sounds)									terror	/ˈtʰɛrə˞/	/ˈtʰerə/	n	Intense fear.	She screamed in terror when she saw the shadow move.
block out (sounds)									block out	/ˈblɑk ˈaʊt/	/ˈblɒk ˈaʊt/	v	To prevent a sound or thought from being heard or noticed.	She put on headphones to block out the noise of the city.
noise (sounds)									noise	/ˈnɔɪz/	/ˈnɔɪz/	n	Unwanted or unpleasant sound.	The constant noise from the traffic gave him a headache.
phobia (sounds)									phobia	/ˈfoʊbiə/	/ˈfəʊbiə/	n	An extreme or irrational fear of something.	Her phobia of heights kept her from crossing the bridge.
unbearable (sounds)									unbearable	/ˌənˈbɛrəbəl/	/ʌnˈbeərəbᵊl/	adj	Too bad, harsh, or extreme to be tolerated.	The heat in the desert was unbearable.
tuned in (sounds)									tuned in	/ˈtʰund ˈɪn/	/ˈtʰjuːnd ɪn/	v	Aware of or listening carefully to every sound.	He was so tuned in to the conversation that he didn't notice the time passing.
cacophony (sounds)									cacophony	/kæˈkʰɑfəni/	/kəˈkʰɒfəni/	n	A harsh, discordant mixture of sounds.	The classroom erupted in a cacophony of voices when the teacher left.
whistled (sounds)									whistled	/ˈwɪsəld/	/ˈwɪsᵊld/	v	Produced a high-pitched sound by forcing air through the lips or teeth.	He whistled a cheerful tune while walking home.
whistle (sounds)									whistle	/ˈwɪsəl/	/ˈwɪsᵊl/	n	A high-pitched sound made by blowing air through pursed lips or a device.	The referee blew the whistle to stop the game.
quiet (sounds)									quiet	/ˈkwaɪət/	/ˈkwaɪət/	adj	Making little or no noise.	The library was so quiet that you could hear a pin drop.
loud (sounds)									loud	/ˈlaʊd/	/ˈlaʊd/	adj	Making a lot of noise.	The music at the concert was too loud for my liking.
arguing (sounds)									arguing	/ˈɑrɡjuɪŋ/	/ˈɑːɡjuːɪŋ/	v	Engaging in a heated or angry discussion.	The neighbors were arguing again about parking spaces.
constant hum (sounds)									constant hum	/ˈkʰɑnstənt ˈhəm/	/ˈkʰɒnstᵊnt ˈhʌm/	n	A continuous low, steady sound.	The constant hum of the air conditioner was strangely comforting.
soothing (sounds)									soothing	/ˈsuðɪŋ/	/ˈsuːðɪŋ/	adj	Having a calming or comforting effect.	The sound of the waves was soothing after a stressful day.
get on in life (sounds)									get on in life	/ˈɡɛt ˈɔn ˈɪn ˈlaɪf/	/ˈɡet ɒn ɪn ˈlaɪf/	exp	To succeed or make progress in life.	He worked hard to get on in life despite many challenges.
scratching of a pen (sounds)									scratching of a pen	/ˈskɹætʃɪŋ əv ə ˈpʰɛn/	/ˈskrætʃɪŋ əv ə ˈpʰen/	n	The sound produced when a pen moves across paper.	The only noise in the exam hall was the scratching of a pen.
filtered into (sounds)									filtered into	/ˈfɪltə˞d ˈɪntə/	/ˈfɪltəd ˈɪntə/	v	Gradually became part of one's awareness.	Soft music filtered into the room from the café downstairs.
bringing me to a halt (sounds)									bringing me to a halt	/ˈbɹɪŋɪŋ ˈmi tu ə ˈhɔlt/	/ˈbrɪŋɪŋ ˈmiː tu ə ˈhɒlt/	exp	Stopping me completely.	The sight of the accident ahead was bringing me to a halt.
nearby (sounds)									nearby	/nɪrˈbaɪ/	/ˈnɪəˌbaɪ/	adj	Close to a particular place.	There is a small grocery store nearby.
rolled (sounds)									rolled	/ˈɹoʊld/	/ˈrəʊld/	v	Moved something by turning it over and over.	They rolled the barrels down the hill.
any chance (sounds)									any chance	/ˈɛni ˈtʃæns/	/ˈeni ˈtʃɑːns/	exp	Any possibility of something happening.	Is there any chance of getting tickets for the show?
afterwards (sounds)									afterwards	/ˈæftə˞wə˞dz/	/ˈɑːftəwədz/	adv	At a later time.	We had dinner and went to a movie afterwards.
long-term (sounds)									long-term	/ˈlɔŋˈtʰɜ˞m/	/ˌlɒŋˈtʰɜːm/	adj	Lasting for a long period of time.	They are in a long-term relationship.
intolerable (sounds)									intolerable	/ɪnˈtʰɑlə˞ɹəbəl/	/ɪnˈtʰɒlᵊrəbᵊl/	adj	Too bad or severe to be endured.	The pain in his leg became intolerable, so he went to the doctor.
sneak off (sounds)									sneak off	/ˈsnik ˈɔf/	/ˈsniːk ˈɒf/	v	To leave secretly without being noticed.	She tried to sneak off from the party without saying goodbye.
rejection (sounds)									rejection	/ɹɪˈdʒɛkʃən/	/rɪˈdʒekʃᵊn/	n	The act of refusing to accept or consider something.	His job application faced another rejection.
ruled out (sounds)									ruled out	/ˈɹuld ˈaʊt/	/ˈruːld ˈaʊt/	v	Decided that something is not possible or allowed.	The doctor ruled out any serious condition after the test.
limitations (sounds)									limitations	/ˌlɪməˈtʰeɪʃənz/	/ˌlɪmɪˈtʰeɪʃᵊnz/	n	Restrictions or weaknesses that prevent full potential.	Despite his physical limitations, he climbed the mountain.
misophonia (sounds)									misophonia	/#misophonia#/	/#misophonia#/	n	A strong emotional reaction to specific sounds.	Her misophonia made it difficult to be around people who chewed loudly.
hatred (sounds)									hatred	/ˈheɪtɹəd/	/ˈheɪtrɪd/	n	Intense dislike.	His hatred of injustice drove him to become a lawyer.
support forum (sounds)									support forum	/səˈpʰɔrt ˈfɔrəm/	/səˈpʰɔːt ˈfɔːrəm/	n	An online or physical space dedicated to helping people with a particular issue.	She joined a support forum to connect with others who shared her experience.
gave some perspective (sounds)									gave some perspective	/ˈɡeɪv ˈsəm pə˞ˈspɛktɪv/	/ˈɡeɪv ˈsʌm pəˈspektɪv/	v	Helped to see a situation in a more balanced way.	Talking to her mentor gave her some perspective on her career choices.
sufferers (sounds)									sufferers	/ˈsəfə˞ɹə˞z/	/ˈsʌfᵊrəz/	n	People who experience pain, distress, or hardship.	Misophonia sufferers often struggle with everyday noises.
deaf (sounds)									deaf	/ˈdɛf/	/ˈdef/	adj	Unable to hear.	He was born deaf but learned to communicate through sign language.
voice (sounds)									voice	/ˈvɔɪs/	/ˈvɔɪs/	n	The sound produced by the vocal cords of a human.	Her voice was soft but full of emotion.
hear (sounds)									hear	/ˈhɪr/	/ˈhɪə/	v	To perceive sound with the ears.	Can you hear the birds singing outside?
a first (education)									a first	/ə ˈfɜ˞st/	/ə ˈfɜːst/	n	The highest level of academic qualification in a UK university degree.	She graduated with a first in Physics from Oxford.